[2026-03-16 14:09:27] GAME CREATED
[2026-03-16 14:09:32] PLAYER JOINED: rs as red
[2026-03-16 14:09:36] PLAYER JOINED: ly as blue
[2026-03-16 14:09:39] PLAYER START: ly (blue)
[2026-03-16 14:09:41] PLAYER START: rs (red)
[2026-03-16 14:09:41] GAME START: turn order ['red', 'blue']
[2026-03-16 14:10:26] MOVE #169: rs (red) 87->75 [0.09ms]
[2026-03-16 14:10:26] MOVE #170: ly (blue) 67->58 [0.04ms]
[2026-03-16 14:10:26] MOVE #171: rs (red) 75->86 [0.06ms]
[2026-03-16 14:10:27] MOVE #172: ly (blue) 14->27 [0.09ms]
[2026-03-16 14:10:27] MOVE #173: rs (red) 103->90 [0.07ms]
[2026-03-16 14:10:27] MOVE #174: ly (blue) 27->14 [0.05ms]
[2026-03-16 14:10:27] MOVE #175: rs (red) 90->102 [0.24ms]
[2026-03-16 14:10:28] MOVE #176: ly (blue) 22->21 [0.09ms]
[2026-03-16 14:10:28] MOVE #177: rs (red) 76->65 [0.08ms]
[2026-03-16 14:10:28] MOVE #178: ly (blue) 21->33 [0.05ms]
[2026-03-16 14:10:28] MOVE #179: rs (red) 115->116 [0.09ms]
[2026-03-16 14:10:29] MOVE #180: ly (blue) 33->44 [0.05ms]
[2026-03-16 14:10:29] MOVE #181: rs (red) 116->117 [0.05ms]
[2026-03-16 14:10:29] MOVE #182: ly (blue) 14->12 [0.05ms]
[2026-03-16 14:10:29] MOVE #183: rs (red) 114->113 [0.12ms]
[2026-03-16 14:10:30] MOVE #184: ly (blue) 58->48 [0.04ms]
[2026-03-16 14:10:30] MOVE #185: rs (red) 107->95 [0.11ms]
[2026-03-16 14:10:30] MOVE #186: ly (blue) 41->51 [0.04ms]
[2026-03-16 14:10:30] MOVE #187: rs (red) 117->114 [0.05ms]
[2026-03-16 14:10:31] MOVE #188: ly (blue) 9->18 [0.09ms]
[2026-03-16 14:10:31] MOVE #189: rs (red) 65->75 [0.07ms]
[2026-03-16 14:10:31] MOVE #190: ly (blue) 48->38 [0.04ms]
[2026-03-16 14:10:32] MOVE #191: rs (red) 102->90 [0.06ms]
[2026-03-16 14:10:32] MOVE #192: ly (blue) 38->49 [0.09ms]
[2026-03-16 14:10:32] MOVE #193: rs (red) 104->39 [0.07ms]
[2026-03-16 14:10:32] MOVE #194: ly (blue) 13->14 [0.42ms]
[2026-03-16 14:10:33] MOVE #195: rs (red) 75->65 [0.06ms]
[2026-03-16 14:10:33] MOVE #196: ly (blue) 18->19 [0.09ms]
[2026-03-16 14:10:33] MOVE #197: rs (red) 90->92 [0.12ms]
[2026-03-16 14:10:33] MOVE #198: ly (blue) 12->25 [0.07ms]
[2026-03-16 14:10:34] MOVE #199: rs (red) 95->108 [0.05ms]
[2026-03-16 14:10:34] MOVE #200: ly (blue) 44->32 [0.05ms]
[2026-03-16 14:10:34] MOVE #201: rs (red) 113->112 [0.10ms]
[2026-03-16 14:10:35] MOVE #202: ly (blue) 0->2 [0.08ms]
[2026-03-16 14:10:35] MOVE #203: rs (red) 68->78 [0.10ms]
[2026-03-16 14:10:35] MOVE #204: ly (blue) 49->58 [0.08ms]
[2026-03-16 14:10:35] MOVE #205: rs (red) 92->67 [0.04ms]
[2026-03-16 14:10:36] MOVE #206: ly (blue) 32->44 [0.07ms]
[2026-03-16 14:10:36] MOVE #207: rs (red) 39->60 [0.04ms]
[2026-03-16 14:10:36] MOVE #208: ly (blue) 51->52 [0.04ms]
[2026-03-16 14:10:36] MOVE #209: rs (red) 65->56 [0.10ms]
[2026-03-16 14:10:37] MOVE #210: ly (blue) 25->26 [0.05ms]
[2026-03-16 14:10:37] MOVE #211: rs (red) 112->113 [0.07ms]
[2026-03-16 14:10:37] MOVE #212: ly (blue) 44->32 [0.04ms]
[2026-03-16 14:10:37] MOVE #213: rs (red) 91->79 [0.07ms]
[2026-03-16 14:10:38] MOVE #214: ly (blue) 14->13 [0.08ms]
[2026-03-16 14:10:38] MOVE #215: rs (red) 67->57 [0.04ms]
[2026-03-16 14:10:38] MOVE #216: ly (blue) 13->25 [0.07ms]
[2026-03-16 14:10:38] MOVE #217: rs (red) 86->87 [0.05ms]
[2026-03-16 14:10:39] MOVE #218: ly (blue) 2->0 [0.04ms]
[2026-03-16 14:10:39] MOVE #219: rs (red) 89->68 [0.05ms]
[2026-03-16 14:10:39] MOVE #220: ly (blue) 50->40 [0.05ms]
[2026-03-16 14:10:39] MOVE #221: rs (red) 78->67 [0.04ms]
[2026-03-16 14:10:40] MOVE #222: ly (blue) 58->77 [0.04ms]
[2026-03-16 14:10:40] MOVE #223: rs (red) 87->88 [0.05ms]
[2026-03-16 14:10:40] MOVE #224: ly (blue) 52->51 [0.04ms]
[2026-03-16 14:10:40] MOVE #225: rs (red) 113->104 [0.04ms]
[2026-03-16 14:10:41] MOVE #226: ly (blue) 28->27 [0.04ms]
[2026-03-16 14:10:41] MOVE #227: rs (red) 68->59 [0.06ms]
[2026-03-16 14:10:41] MOVE #228: ly (blue) 4->8 [0.05ms]
[2026-03-16 14:10:42] MOVE #229: rs (red) 79->68 [0.05ms]
[2026-03-16 14:10:42] MOVE #230: ly (blue) 77->78 [0.09ms]
[2026-03-16 14:10:42] MOVE #231: rs (red) 68->69 [0.07ms]
[2026-03-16 14:10:42] MOVE #232: ly (blue) 0->1 [0.05ms]
[2026-03-16 14:10:43] MOVE #233: rs (red) 114->113 [0.05ms]
[2026-03-16 14:10:43] MOVE #234: ly (blue) 40->50 [0.04ms]
[2026-03-16 14:10:43] MOVE #235: rs (red) 69->70 [0.05ms]
[2026-03-16 14:10:43] MOVE #236: ly (blue) 25->36 [0.04ms]
[2026-03-16 14:10:44] MOVE #237: rs (red) 88->77 [0.06ms]
[2026-03-16 14:10:44] MOVE #238: ly (blue) 1->3 [0.09ms]
[2026-03-16 14:10:44] MOVE #239: rs (red) 113->91 [0.04ms]
[2026-03-16 14:10:44] MOVE #240: ly (blue) 3->1 [0.09ms]
[2026-03-16 14:10:45] MOVE #241: rs (red) 91->113 [0.06ms]
[2026-03-16 14:10:45] MOVE #242: ly (blue) 32->43 [0.06ms]
[2026-03-16 14:10:45] MOVE #243: rs (red) 57->48 [0.11ms]
[2026-03-16 14:10:45] MOVE #244: ly (blue) 43->42 [0.04ms]
[2026-03-16 14:10:46] MOVE #245: rs (red) 108->96 [0.04ms]
